ID,LegacyID,FirstName,LastName,Department,AvgRating,NumRatings,AvgDifficulty,WouldTakeAgainPercent,CleanedFirstName,CleanedLastName,instructors,BestCourseMatch,MatchScore
VGVhY2hlci0yMzQxMzM3,2341337,Liad,Weiss,Business,2.4,5,2.6,20.0,Liad,Weiss,Liad Weiss,Lydia Weiss,86
VGVhY2hlci0yNTY5NDA3,2569407,H.,Warner,History,3.0,2,4.0,50.0,H,Warner,H Warner,,0
VGVhY2hlci0yNjc4NzQy,2678742,Linge,Xia,Marketing,5.0,1,3.0,100.0,Linge,Xia,Linge Xia,,0
VGVhY2hlci0yMjE5NTM3,2219537,Joseph,Shumow,Business,4.3,7,2.7,85.7143,Joseph,Shumow,Joseph Shumow,,0
VGVhY2hlci0yNjg4MDEw,2688010,Thomas,Rider,History,5.0,1,2.0,100.0,Thomas,Rider,Thomas Rider,,0
VGVhY2hlci0yNjg4MjYz,2688263,Sydney,Alhadeff,Sociology,5.0,1,1.0,100.0,Sydney,Alhadeff,Sydney Alhadeff,,0
VGVhY2hlci0yNjU3MTky,2657192,Kathy,Villalon,Education,5.0,1,2.0,100.0,Kathy,Villalon,Kathy Villalon,,0
VGVhY2hlci0yNjg3NTMz,2687533,Helen,Cho,Journalism,5.0,1,2.0,100.0,Helen,Cho,Helen Cho,,0
VGVhY2hlci0yMDc1MTEx,2075111,Eric,Codner,Engineering,4.5,2,2.0,100.0,Eric,Codner,Eric Codner,,0
VGVhY2hlci0xNDE5ODgw,1419880,Pernille,Ipsen,Women's Studies,4.2,24,1.9,100.0,Pernille,Ipsen,Pernille Ipsen,Pernille Ipsen,100
VGVhY2hlci0yNjM4NDIy,2638422,Brandon,Storlie,Communication,3.0,2,3.0,0.0,Brandon,Storlie,Brandon Storlie,,0
VGVhY2hlci0yMjI1MDkz,2225093,Alexander,Brooks,Computer Science,2.9,13,3.7,53.8462,Alexander,Brooks,Alexander Brooks,Alexander Cook,87
VGVhY2hlci0xMjkyNTQy,1292542,Beth,Altschafl,Medicine,4.6,39,3.4,90.9091,Beth,Altschafl,Beth Altschafl,Beth Altschafl,100
VGVhY2hlci0yMDk2ODgy,2096882,Steve,Jones,Spanish  Portuguese,4.5,6,2.5,100.0,Steve,Jones,Steve Jones,,0
VGVhY2hlci0yNjU4OTA4,2658908,Adam,Hayes,Sociology,4.3,4,3.3,75.0,Adam,Hayes,Adam Hayes,,0
